state,action,successor,state_rank,successor_rank,abstract_state,abstract_successor,state_comp_states,successor_comp_states,component_names,is_controllable_action,action_has_index,successor_is_deadlock,successor_is_error,is_uncontrollable_state,is_uncontrollable_successor
11,0.getPos.1.2,12,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckPiece.0-CheckTwoPieces.0.1, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.0.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 1, 9, 0, 1, 0, 1, 0]","[0, 1, 9, 0, 18, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,true,false,false,true,true
11,illegalPosition,11,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckPiece.0-CheckTwoPieces.0.1, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckPiece.0-CheckTwoPieces.0.1, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 1, 9, 0, 1, 0, 1, 0]","[0, 1, 9, 0, 1, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",false,false,false,false,true,true
12,1.getPos.2.2,13,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.0.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.1.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 1, 9, 0, 18, 0, 1, 0]","[0, 1, 9, 0, 3, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,true,false,false,true,true
12,illegalPosition,12,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.0.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.0.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 1, 9, 0, 18, 0, 1, 0]","[0, 1, 9, 0, 18, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",false,false,false,false,true,true
13,checkSafeOk,14,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.1.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_LiveChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 1, 9, 0, 3, 0, 1, 0]","[0, 2, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,true,true
13,illegalPosition,13,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.1.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.1.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 1, 9, 0, 3, 0, 1, 0]","[0, 1, 9, 0, 3, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",false,false,false,false,true,true
14,illegalPosition,14,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_LiveChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_LiveChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 2, 9, 0, 0, 0, 1, 0]","[0, 2, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",false,false,false,false,true,true
14,startLiveCheck,15,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_LiveChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckWinPos.1, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.1, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 2, 9, 0, 0, 0, 1, 0]","[0, 3, 9, 1, 0, 1, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,true,true
15,1.getPos.2.2,16,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckWinPos.1, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.1, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckWinPos.2-Win, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.2-Win, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 3, 9, 1, 0, 1, 1, 0]","[0, 3, 9, 2, 0, 2, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,true,false,false,true,true
15,illegalPosition,15,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckWinPos.1, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.1, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckWinPos.1, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.1, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 3, 9, 1, 0, 1, 1, 0]","[0, 3, 9, 1, 0, 1, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",false,false,false,false,true,true
16,checkLiveDone,17,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckWinPos.2-Win, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.2-Win, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 3, 9, 2, 0, 2, 1, 0]","[0, 4, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,true,true
16,illegalPosition,16,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckWinPos.2-Win, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.2-Win, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckWinPos.2-Win, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.2-Win, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 3, 9, 2, 0, 2, 1, 0]","[0, 3, 9, 2, 0, 2, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",false,false,false,false,true,true
17,left,20,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 4, 9, 0, 0, 0, 1, 0]","[0, 38, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,true,true
17,up,22,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 4, 9, 0, 0, 0, 1, 0]","[0, 71, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,true,true
17,right,18,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 4, 9, 0, 0, 0, 1, 0]","[0, 5, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,true,true
17,down,24,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 4, 9, 0, 0, 0, 1, 0]","[0, 104, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,true,true
